arn,reconciliation_date,settlement_date,value_date,merchant_date,working_days,calendar_days
24234282118000262326771,2022-06-04,2022-06-06,2022-06-06,2022-06-06,0,2
24234282145000373689742,2022-06-03,2022-06-22,2022-06-22,2022-06-22,0,19
24234282149000394179802,2022-06-07,2022-06-26,2022-06-27,2022-06-27,0,19
24234282143000361383144,2022-06-01,2022-06-20,2022-06-20,2022-06-20,0,19
24234282113000247411800,2022-05-03,2022-05-21,2022-05-23,2022-05-23,0,18
24234282130000309108459,2022-05-27,2022-06-07,2022-06-07,2022-06-07,0,11
24234282143000360087316,2022-06-09,2022-06-20,2022-06-20,2022-06-20,0,11
24234282125000286522844,2022-05-13,2022-06-02,2022-06-02,2022-06-02,0,20
24234282158000454486368,2022-06-12,2022-07-05,2022-07-05,2022-07-05,0,23
24234282123000281972426,2022-06-28,2022-06-30,2022-06-30,2022-06-30,0,2
24234282131000312955143,2022-06-08,2022-06-10,2022-06-10,2022-06-10,0,2
24234282138000339346840,2022-06-08,2022-06-15,2022-06-15,2022-06-15,0,7
24234282151000405630343,2022-06-16,2022-06-28,2022-06-28,2022-06-28,0,12
24234282164000503277638,2022-06-24,2022-07-11,2022-07-11,2022-07-11,0,17
24234282126000292080257,2022-05-18,2022-06-03,2022-06-03,2022-06-03,0,16
24234282143000361059629,2022-06-11,2022-06-20,2022-06-20,2022-06-20,0,9
24234282101000214186934,2022-05-28,2022-05-30,2022-05-30,2022-05-30,0,2
24234282124000284889873,2022-05-20,2022-06-01,2022-06-01,2022-06-01,0,12
24234282150000401545322,2022-06-07,2022-06-27,2022-06-27,2022-06-27,0,20
24234282145000371230978,2022-06-03,2022-06-22,2022-06-22,2022-06-22,0,19
24234282147000383975642,2022-06-08,2022-06-24,2022-06-24,2022-06-24,0,16
24234282099000209199938,2022-05-14,2022-05-16,2022-05-16,2022-05-16,0,2
24234282117000259455261,2022-05-05,2022-05-25,2022-05-25,2022-05-25,0,20
24234282117000259638445,2022-05-04,2022-05-25,2022-05-25,2022-05-25,0,21
24234282121000271775500,2022-05-31,2022-06-02,2022-06-02,2022-06-02,0,2
24234282124000282059628,2022-06-07,2022-06-09,2022-06-09,2022-06-09,0,2
24234282153000422790565,2022-06-10,2022-06-30,2022-06-30,2022-06-30,0,20
24234282104000222899889,2022-05-26,2022-05-28,2022-05-30,2022-05-30,0,2
24234282108000232711492,2022-05-13,2022-05-16,2022-05-16,2022-05-16,0,3
24234282124000284952655,2022-05-15,2022-06-01,2022-06-01,2022-06-01,0,17
24234282145000373423878,2022-06-29,2022-07-01,2022-07-01,2022-07-01,0,2
24234282117000258589029,2022-05-04,2022-05-25,2022-05-25,2022-05-25,0,21
24234282149000395030723,2022-06-15,2022-06-26,2022-06-27,2022-06-27,0,11
24234282154000429499359,2022-06-11,2022-07-01,2022-07-01,2022-07-01,0,20
24234282073000138807338,2022-05-28,2022-05-30,2022-05-30,2022-05-30,0,2
24234282073000140410964,2022-05-11,2022-05-13,2022-05-13,2022-05-13,0,2
24234282097000205159466,2022-05-05,2022-05-07,2022-05-09,2022-05-09,0,2
24234282136000333530094,2022-06-02,2022-06-13,2022-06-13,2022-06-13,0,11
24234282157000451716883,2022-06-26,2022-07-04,2022-07-04,2022-07-04,0,8
24234282091000187633831,2022-07-01,2022-07-03,2022-07-04,2022-07-04,0,2
24234282149000393462001,2022-06-11,2022-06-26,2022-06-27,2022-06-27,0,15
