arn,reconciliation_date,settlement_date,value_date,merchant_date,working_days,calendar_days
24234282192000786348383,2022-08-04,2022-08-08,2022-08-08,2022-08-08,0,4
24234282206000975337589,2022-08-10,2022-08-22,2022-08-22,2022-08-22,0,12
24234282205000961500589,2022-08-14,2022-08-21,2022-08-22,2022-08-22,0,7
24234282207000981194437,2022-08-06,2022-08-23,2022-08-23,2022-08-23,0,17
24234282181000659528536,2022-08-09,2022-08-11,2022-08-11,2022-08-11,0,2
24234282198000867390738,2022-08-02,2022-08-14,2022-08-15,2022-08-15,0,12
24234282204000952431431,2022-08-03,2022-08-20,2022-08-22,2022-08-22,0,17
24234282206000975178470,2022-08-09,2022-08-22,2022-08-22,2022-08-22,0,13
24234282191000784149644,2022-08-09,2022-08-11,2022-08-11,2022-08-11,0,2
24234282197000849177717,2022-08-03,2022-08-13,2022-08-15,2022-08-15,0,10
24234282198000869988836,2022-08-12,2022-08-14,2022-08-15,2022-08-15,0,2
24234282203000926515286,2022-08-12,2022-08-19,2022-08-19,2022-08-19,0,7
24234282208000997045085,2022-08-03,2022-08-24,2022-08-24,2022-08-24,0,21
24234282193000807588313,2022-08-13,2022-08-15,2022-08-15,2022-08-15,0,2
24234282197000849413096,2022-08-09,2022-08-13,2022-08-15,2022-08-15,0,4
24234282201000907094634,2022-08-05,2022-08-17,2022-08-17,2022-08-17,0,12
24234282209001011875415,2022-08-04,2022-08-25,2022-08-25,2022-08-25,0,21
24234282193000803352292,2022-08-13,2022-08-15,2022-08-15,2022-08-15,0,2
24234282201000899298508,2022-08-05,2022-08-17,2022-08-17,2022-08-17,0,12
24234282175000600400718,2022-08-10,2022-08-12,2022-08-12,2022-08-12,0,2
24234282207000990045232,2022-08-13,2022-08-23,2022-08-23,2022-08-23,0,10
24234282208001006673248,2022-08-09,2022-08-24,2022-08-24,2022-08-24,0,15
24234282197000857931393,2022-08-10,2022-08-13,2022-08-15,2022-08-15,0,3
24234282207000991940738,2022-08-13,2022-08-23,2022-08-23,2022-08-23,0,10
24234282196000844862942,2022-08-12,2022-08-14,2022-08-15,2022-08-15,0,2
24234282209001019168904,2022-08-05,2022-08-25,2022-08-25,2022-08-25,0,20
24234282202000906386386,2022-08-03,2022-08-17,2022-08-17,2022-08-17,0,14
24234282203000933492958,2022-08-05,2022-08-19,2022-08-19,2022-08-19,0,14
24234282206000969070303,2022-08-02,2022-08-22,2022-08-22,2022-08-22,0,20
24234282207000983014500,2022-08-03,2022-08-23,2022-08-23,2022-08-23,0,20
24234282209001015022857,2022-08-05,2022-08-25,2022-08-25,2022-08-25,0,20
