arn,reconciliation_date,settlement_date,value_date,merchant_date,working_days,calendar_days
24234282203000929437785,2022-08-21,2022-08-23,2022-08-23,2022-08-23,0,2
24234282215001103946126,2022-08-07,2022-08-30,2022-08-30,2022-08-30,0,23
24234282221001239823688,2022-08-14,2022-09-06,2022-09-06,2022-09-06,0,23
24234282222001258794876,2022-08-20,2022-09-07,2022-09-08,2022-09-08,0,18
24234282228001367422835,2022-08-20,2022-09-12,2022-09-12,2022-09-12,0,23
24234282216001140652272,2022-08-11,2022-09-01,2022-09-01,2022-09-01,0,21
24234282217001152298344,2022-08-17,2022-09-02,2022-09-02,2022-09-02,0,16
24234282213001077440363,2022-08-15,2022-08-29,2022-08-29,2022-08-29,0,14
24234282213001080066734,2022-08-04,2022-08-29,2022-08-29,2022-08-29,0,25
24234282214001095938629,2022-08-11,2022-08-30,2022-08-30,2022-08-30,0,19
24234282215001116056871,2022-08-16,2022-08-31,2022-08-31,2022-08-31,0,15
24234282229001387969202,2022-08-20,2022-09-13,2022-09-13,2022-09-13,0,24
24234282202000913914865,2022-08-20,2022-08-22,2022-08-22,2022-08-22,0,2
24234282227001364194677,2022-08-20,2022-09-12,2022-09-12,2022-09-12,0,23
24234282197000849209767,2022-08-20,2022-08-22,2022-08-22,2022-08-22,0,2
24234282210001034822136,2022-08-10,2022-08-26,2022-08-26,2022-08-26,0,16
24234282212001067941397,2022-08-13,2022-08-28,2022-08-29,2022-08-29,0,15
24234282219001192582242,2022-08-12,2022-09-04,2022-09-05,2022-09-05,0,23
24234282223001273497595,2022-08-18,2022-09-08,2022-09-08,2022-09-08,0,21
24234282221001231162721,2022-08-13,2022-09-06,2022-09-06,2022-09-06,0,24
24234282211001038992447,2022-08-11,2022-08-26,2022-08-26,2022-08-26,0,15
24234282211001051066558,2022-08-05,2022-08-27,2022-08-29,2022-08-29,0,22
24234282213001073274857,2022-08-11,2022-08-28,2022-08-29,2022-08-29,0,17
24234282215001111272200,2022-08-12,2022-08-31,2022-08-31,2022-08-31,0,19
24234282228001371335213,2022-08-21,2022-09-13,2022-09-13,2022-09-13,0,23
24234282221001229778850,2022-08-14,2022-09-06,2022-09-06,2022-09-06,0,23
24234282229001403154508,2022-08-20,2022-09-14,2022-09-14,2022-09-14,0,25
24234282229001395034940,2022-08-21,2022-09-14,2022-09-14,2022-09-14,0,24
24234282212001066837380,2022-08-17,2022-08-28,2022-08-29,2022-08-29,0,11
24234282212001073951554,2022-08-05,2022-08-28,2022-08-29,2022-08-29,0,23
24234282221001225724189,2022-08-14,2022-09-06,2022-09-06,2022-09-06,0,23
24234282222001258136185,2022-08-20,2022-09-07,2022-09-08,2022-09-08,0,18
24234282210001035568274,2022-08-03,2022-08-26,2022-08-26,2022-08-26,0,23
24234282211001058655056,2022-08-06,2022-08-27,2022-08-29,2022-08-29,0,21
24234282215001110509230,2022-08-13,2022-08-31,2022-08-31,2022-08-31,0,18
24234282215001119128255,2022-08-12,2022-08-31,2022-08-31,2022-08-31,0,19
24234282219001191847620,2022-08-14,2022-09-04,2022-09-05,2022-09-05,0,21
24234282211001058400370,2022-08-06,2022-08-27,2022-08-29,2022-08-29,0,21
24234282215001115599012,2022-08-17,2022-08-31,2022-08-31,2022-08-31,0,14
24234282227001364264942,2022-08-20,2022-09-12,2022-09-12,2022-09-12,0,23
24234282221001228983386,2022-08-20,2022-09-06,2022-09-06,2022-09-06,0,17
24234282211001052773814,2022-08-17,2022-08-28,2022-08-29,2022-08-29,0,11
24234282214001097992970,2022-08-06,2022-08-30,2022-08-30,2022-08-30,0,24
24234282216001123022451,2022-08-06,2022-08-31,2022-08-31,2022-08-31,0,25
24234282218001169943451,2022-08-18,2022-09-04,2022-09-05,2022-09-05,0,17
24234282221001239722328,2022-08-14,2022-09-06,2022-09-06,2022-09-06,0,23
24234282228001384911232,2022-08-20,2022-09-13,2022-09-13,2022-09-13,0,24
24234282213001082902548,2022-08-16,2022-08-29,2022-08-29,2022-08-29,0,13
24234282190000771918598,2022-08-20,2022-08-22,2022-08-22,2022-08-22,0,2
24234282215001118070276,2022-08-31,2022-09-02,2022-09-02,2022-09-02,0,2
24234282213001078037754,2022-08-06,2022-08-29,2022-08-29,2022-08-29,0,23
24234282213001087980127,2022-08-11,2022-08-29,2022-08-29,2022-08-29,0,18
24234282217001153564306,2022-08-17,2022-09-02,2022-09-02,2022-09-02,0,16
24234282221001228098649,2022-08-16,2022-09-06,2022-09-06,2022-09-06,0,21
24234282222001246024378,2022-08-18,2022-09-07,2022-09-08,2022-09-08,0,20
